SETTLEMENTDATE,REGIONID,RRP
2026-03-11 00:45:00,VIC1,0.01006
2026-03-11 00:50:00,VIC1,8.95
2026-03-11 00:55:00,VIC1,9.09135
2026-03-11 01:00:00,VIC1,8.95
2026-03-11 01:05:00,VIC1,0.00022
2026-03-11 01:10:00,VIC1,5.65
2026-03-11 01:15:00,VIC1,0.01
2026-03-11 01:20:00,VIC1,0.01
2026-03-11 01:25:00,VIC1,0.0
2026-03-11 01:30:00,VIC1,-0.06
2026-03-11 01:35:00,VIC1,-0.07
2026-03-11 01:40:00,VIC1,-2.5
2026-03-11 01:45:00,VIC1,-0.09976
2026-03-11 01:50:00,VIC1,-0.09976
2026-03-11 01:55:00,VIC1,-4.12918
2026-03-11 02:00:00,VIC1,-4.01375
2026-03-11 02:05:00,VIC1,-2.5
2026-03-11 02:10:00,VIC1,-4.05725
2026-03-11 02:15:00,VIC1,-0.1
2026-03-11 02:20:00,VIC1,-0.1
2026-03-11 02:25:00,VIC1,-4.22789
2026-03-11 02:30:00,VIC1,-4.2323
